text
mycosporine glutamicol glucoside a natural uv absorbing secondary metabolite of rock inhabiting microcolonial fungi ||||| microcolonial ascomycetes are known to inhabit bare rock surfaces in cold and hot deserts and thus are habitually exposed to high levels of solar radiation several of these stress tolerant fungal isolates cultivated in the laboratory under daylight illumination were studied for the presence of effective uv radiation protection substances liquid chromatography mass spectrometry lc ms and liquid chromatography tandem mass spectrometry lc ms ms analyses allowed for efficient separation and structure clarification of two mycosporines it was demonstrated that both mycosporine glutamicol glucoside and mycosporine glutaminol glucoside are natural and constitutive secondary metabolites of microcolonial fungi the function and relation of these substances in the fungal cell are discussed
knickkopf protein protects and organizes chitin in the newly synthesized insect exoskeleton ||||| during each molting cycle of insect development synthesis of new cuticle occurs concurrently with the partial degradation of the overlying old exoskeleton protection of the newly synthesized cuticle from molting fluid enzymes has long been attributed to the presence of an impermeable envelope layer that was thought to serve as a physical barrier preventing molting fluid enzymes from accessing the new cuticle and thereby ensuring selective degradation of only the old one in this study using the red flour beetle tribolium castaneum as a model insect species we show that an entirely different and unexpected mechanism accounts for the selective action of chitinases and possibly other molting enzymes the molting fluid enzyme chitinase which degrades the matrix polysaccharide chitin is not excluded from the newly synthesized cuticle as previously assumed instead the new cuticle is protected from chitinase action by the t castaneum knickkopf tcknk protein tcknk colocalizes with chitin in the new cuticle and organizes it into laminae down regulation of tcknk results in chitinase dependent loss of chitin severe molting defects and lethality at all developmental stages the conservation of knickkopf across insect crustacean and nematode taxa suggests that its critical roles in the laminar ordering and protection of exoskeletal chitin may be common to all chitinous invertebrates
erosion resistance of bionic functional surfaces inspired from desert scorpions ||||| in this paper a bionic method is presented to improve the erosion resistance of machine components desert scorpion androctonus australis is a typical animal living in sandy deserts and may face erosive action of blowing sand at a high speed based on the idea of bionics and biologic experimental techniques the mechanisms of the sand erosion resistance of desert scorpion were investigated results showed that the desert scorpions used special microtextures such as bumps and grooves to construct the functional surfaces to achieve the erosion resistance in order to understand the erosion resistance mechanisms of such functional surfaces the combination of computational and experimental research were carried out in this paper the computational fluid dynamics cfd method was applied to predict the erosion performance of the bionic functional surfaces the result demonstrated that the microtextured surfaces exhibited better erosion resistance than the smooth surfaces the further erosion tests indicated that the groove surfaces exhibited better erosion performance at deg injection angle in order to determine the effect of the groove dimensions on the erosion resistance regression analysis of orthogonal multinomials was also performed under a certain erosion condition and the regression equation between the erosion rate and groove distance width and height was established
correlation between the circadian rhythm of resistance to extreme temperatures and changes in fatty acid composition in cotton seedlings ||||| fluctuations in fatty acid composition were examined in cotton gossypium hirsutum l cv deltapine leaves during light dark cycles of h and under continuous light and were correlated to the rhythmic changes in chilling deg c resistance cr and heat deg c resistance hr the chilling resistant and chilling sensitive phases developed in the dark or the light period respectively and this rhythm persisted under continuous light for three cycles the heat resistant phase developed in the light period and an additional peak of hr occurred in the middle of the dark period under continuous light only one peak of hr developed lasting from the middle of the subjective night to the middle of the subjective day the amounts of palmitic and oleic acids were constant during the light dark cycle and under continuous light but those of linoleic and linolenic acids fluctuated attaining a high level in the middle of the dark period or the subjective night and a low level in the middle of the light period or the subjective day a low temperature of deg c induced cr and affected changes in fatty acid composition similar to those that occurred during the daily cr phase a high temperature of deg c induced hr but did not affect changes in fatty acid composition the results in their entirety show that the cr that develops rhythmically as well as the low temperature induced cr coincide with increased levels of polyunsaturated fatty acids no correlation is found between changes in fatty acid composition and the hr that develops rhythmically or the high temperature induced hr
cold blooded snipers thermal independence of ballistic tongue projection in the salamander hydromantes platycephalus ||||| plethodontid salamanders of the genus hydromantes capture prey using the most extreme tongue projection among salamanders and can shoot the tongue a distance of of body length in less than msec the tongue skeleton is projected from the body via an elastic recoil mechanism that decouples muscle contraction from tongue projection amplifying muscle power tenfold we tested the hypothesis that the elastic recoil mechanism also endows tongue projection with low thermal dependence by examining the kinematics and dynamics of tongue projection in hydromantes platycephalus over a range of body temperatures degc we found that h platycephalus maintained tongue projection performance over the tested temperature range and that tongue projection showed thermal independence q values of of all performance parameters including projection distance average velocity and peak instantaneous values of velocity acceleration and power nonelastic muscle powered tongue retraction in contrast responded to temperature changes significantly differently than elastic tongue projection performance parameters of retraction displayed thermal dependence typical of muscle powered movement q values of these results reveal that the elastic recoil mechanism liberates tongue projection from the effects of temperature on muscle contractile rates we suggest that relative thermal independence is a general characteristic of elastic recoil mechanisms and may promote the evolution of these mechanisms in ectothermic animals
the ancient chemistry of avoiding risks of predation and disease ||||| illness death and costs of immunity and injury strongly select for avoidance of predators or contagion ants cockroaches and collembola recognize their dead using unsaturated fatty acids e g oleic or linoleic acid as necromone cues ants bees and termites remove dead from their nests necrophoric behavior whereas semi social species seal off corpses or simply avoid their dead or injured necrophobic behavior alarm and avoidance responses to exudates from injured conspecifics are widespread this involves diverse pheromones complex chemistry and learning we hypothesized that necromones are a phylogenetically ancient class of related signals and predicted that terrestrial isopoda that strongly aggregate and lack known dispersants would avoid body fluids and corpses using fatty acid necromones isopods were repelled by crushed conspecifics blood intact corpses and alcohol extracts of bodies as predicted the repellent fraction contained oleic and linoleic acids and authentic standards repelled several isopod species we further predicted a priori that social caterpillars lacking known dispersants would be repelled by their own body fluids and unsaturated fatty acids both tent caterpillars and fall webworms avoided branches treated with conspecific body fluid oleic and linoleic acids were also strongly avoided by both species necromone signaling appears widespread and likely traces to aquatic ancestors pre dating the divergence of the crustacea and hexapoda at least million years ago
hydrophobins multipurpose proteins ||||| class i and class ii hydrophobins are small secreted fungal proteins that play a role in a broad range of processes in the growth and development of filamentous fungi for instance they are involved in the formation of aerial structures and in the attachment of hyphae to hydrophobic surfaces the mechanisms by which hydrophobins fulfill these functions are based on their property to self assemble at hydrophilic hydrophobic interfaces into a nm thin highly amphipathic film complementation studies have shown that class i hydrophobins belong to a closely related group of morphogenetic proteins but that they have evolved to function at specific interfaces recent evidence indicates that hydrophobins do not only function by self assembly monomeric hydrophobin has been implicated in cell wall assembly but the underlying mechanism is not yet clear in addition hydrophobin monomers could act as toxins and elicitors
chemical niche differentiation among sympatric species of orchid bees ||||| male neotropical orchid bees euglossini collect volatile substances fragrances from flowers and other sources e g decaying wood and store them in specialized hind tibial pockets the accumulated chemicals are later emitted during courtship display presumably to lure conspecific females for mating we analyzed tibial fragrances of males of sympatric panamanian species in the genus euglossa to test whether communities of euglossine bees are chemically structured and to elucidate whether male fragrance signals evolve to convey premating isolation our analysis revealed substantial chemical disparity among all lineages disparity was mediated by compounds that were exclusive to certain species but also by differences in relative quantity of shared compounds we mapped tibial fragrance compounds present in each species on a dna based phylogeny reconstructed using partial sequences of coi ef alpha argk and pol ii and found that most dominant compounds were highly homoplasious in an analysis of chemical differentiation in relation to phylogenetic divergence through time disparity was greater than expected from a null model at any point during evolutionary history suggesting that diversifying selection has shaped fragrance phenotypes notably chemical disparity was greater within recently diverged lineages than among them suggesting that chemical preferences in orchid bees evolved rapidly in the early stages of species divergence we postulate communication interference as the possible mechanism behind the observed fragrance differentiation which may be the product of reproductive character fragrance displacement our findings are consistent with the hypothesis that male fragrance signals evolve to convey premating isolation
alkaliphiles some applications of their products for biotechnology ||||| summary the term alkaliphile is used for microorganisms that grow optimally or very well at ph values above but cannot grow or grow only slowly at the near neutral ph value of alkaliphiles include prokaryotes eukaryotes and archaea many different taxa are represented among the alkaliphiles and some of these have been proposed as new taxa alkaliphiles can be isolated from normal environments such as garden soil although viable counts of alkaliphiles are higher in samples from alkaline environments the cell surface may play a key role in keeping the intracellular ph value in the range between and allowing alkaliphiles to thrive in alkaline environments although adaptation mechanisms have not yet been clarified alkaliphiles have made a great impact in industrial applications biological detergents contain alkaline enzymes such as alkaline cellulases and or alkaline proteases that have been produced from alkaliphiles the current proportion of total world enzyme production destined for the laundry detergent market exceeds another important application is the industrial production of cyclodextrin by alkaline cyclomaltodextrin glucanotransferase this enzyme has reduced the production cost and paved the way for cyclodextrin use in large quantities in foodstuffs chemicals and pharmaceuticals it has also been reported that alkali treated wood pulp could be biologically bleached by xylanases produced by alkaliphiles other applications of various aspects of alkaliphiles are also discussed
seal whiskers detect water movements ||||| how do pinnipeds orientate themselves under water as most pinniped species feed in conditions under which visibility is drastically reduced for example at night at great depths or in murky waters it has been particularly unclear how they succeed in finding food here we show that harbour seals phoca vitulina can use their whiskers to detect minute water movements the high sensitivity of this sensory system should allow a seal to gain hydrodynamic information resulting from movements of other aquatic animals such as prey predators or conspecifics
